base,floor,k,Sharpe,MDD,CAGR
deployment,0.2,3,2.2743733334799754,-0.320794333771654,0.41004449971632706
deployment,0.2,4,2.3439893093371404,-0.2901558193535859,0.40725724499394667
deployment,0.2,5,2.404060926460685,-0.26587372922706565,0.4047740418304244
deployment,0.2,6,2.4565658471094456,-0.24653664929763608,0.4025360932551363
deployment,0.2,7,2.502975367374007,-0.2310293187742143,0.4004989745090428
deployment,0.25,3,2.255926758964547,-0.33106596033957314,0.4108158345852193
deployment,0.25,4,2.321447159781028,-0.3027760307926418,0.4082402841638213
deployment,0.25,5,2.378083919595347,-0.28040592057840363,0.40594701019460877
deployment,0.25,6,2.4276482910360504,-0.26262294014095633,0.40388022403760737
deployment,0.25,7,2.4714914331646427,-0.2483819807231865,0.40199828484315114
deployment,0.3,3,2.2373474872752337,-0.34119637797779656,0.4115756215421966
deployment,0.3,4,2.2986211937118983,-0.3151917708462728,0.40920684247356176
deployment,0.3,5,2.351633191360877,-0.2946753659433812,0.4070989448361555
deployment,0.3,6,2.3980430224741442,-0.27839490210652884,0.40519923233044897
deployment,0.3,7,2.439093013482185,-0.26537558875296674,0.40346884372204395
deployment,0.35,3,2.2186677782065387,-0.35118730065441106,0.4123238418460484
deployment,0.35,4,2.2755768987087297,-0.32740597632968305,0.41015688587580623
deployment,0.35,5,2.3248174727922675,-0.3086862922102297,0.4082297939252786
deployment,0.35,6,2.367909698735713,-0.29385801843678694,0.4064930471809747
deployment,0.35,7,2.405996267316978,-0.2820167952145032,0.4049105605141572
deployment,0.4,3,2.1999178465270535,-0.36104042499708455,0.4130604770203745
deployment,0.4,4,2.252375055125007,-0.3394215486087516,0.4110903808662232
deployment,0.4,5,2.2977369950828663,-0.3224428686981162,0.40933950652155393
deployment,0.4,6,2.3373946975292337,-0.3090176908637259,0.40776159891105634
deployment,0.4,7,2.372398463050151,-0.2983121468200439,0.4063233462637945
deployment,0.5,3,2.1623181733189516,-0.3803399792391554,0.4144989194031332
deployment,0.5,4,2.205718663098336,-0.36286822364706417,0.41290759432031043
deployment,0.5,5,2.2431404649549775,-0.34920936528131075,0.41149532294210034
deployment,0.5,6,2.2757386189384254,-0.33844790891240106,0.4102226407053309
deployment,0.5,7,2.3043932894417787,-0.3298909518928327,0.4090617772438223
deployment,0.6,3,2.124750903600017,-0.3991082716635638,0.415890806202047
deployment,0.6,4,2.1590471812563403,-0.3855543097693517,0.41465822573065014
deployment,0.6,5,2.188479403338038,-0.37500708107118663,0.4135660044962768
deployment,0.6,6,2.21398383831833,-0.36672717482926376,0.4125818260002647
deployment,0.6,7,2.2362796614173046,-0.3601623139836708,0.4116834588579439
v2,0.2,3,2.3400987968080877,-0.25260168786350834,0.36502039875223935
v2,0.2,4,2.3885348384265277,-0.23191975129891962,0.3623395578094384
v2,0.2,5,2.4316618299136428,-0.2146592171373496,0.35990507404912164
v2,0.2,6,2.470347847538654,-0.20021592697466162,0.35768498249327085
v2,0.2,7,2.50528340936301,-0.18808655884926817,0.3556525197128988
v2,0.25,3,2.3284944717235985,-0.2585584945901267,0.3656667058496914
v2,0.25,4,2.374127171719271,-0.23932730894620113,0.3631668207876655
v2,0.25,5,2.4148436051581044,-0.22330072545664348,0.3608980419230179
v2,0.25,6,2.451442519437413,-0.2099059660288234,0.3588299027852031
v2,0.25,7,2.4845579836424956,-0.19866829365931882,0.356937057152491
v2,0.3,3,2.3168210237552134,-0.2644716073987988,0.3663095488641124
v2,0.3,4,2.359579697876589,-0.24666899687978905,0.36398885376428747
v2,0.3,5,2.397791941509426,-0.23185441337896118,0.3618839999007848
v2,0.3,6,2.432190858854723,-0.21948740656593058,0.3599660845245749
v2,0.3,7,2.463357844194838,-0.20912227773743575,0.35821121146830515
v2,0.35,3,2.305087852406468,-0.2703413151302524,0.36694892283064084
v2,0.35,4,2.3449123436179997,-0.2539453444755214,0.3648056471285046
v2,0.35,5,2.380541495393884,-0.2403210896328707,0.3628629324945616
v2,0.35,6,2.4126461253427443,-0.2289613540870934,0.36109350541326357
v2,0.35,7,2.4417582573792416,-0.21944991502793132,0.35947495288852993
v2,0.4,3,2.2933039794774768,-0.2761679049672293,0.36758482280929283
v2,0.4,4,2.3301440959202693,-0.26115687739585713,0.36561719132642945
v2,0.4,5,2.363125104425848,-0.24870155641614322,0.3638348243190297
v2,0.4,6,2.392858563087989,-0.23832890418322283,0.3622121433128622
v2,0.4,7,2.4198299824976197,-0.22965259583636521,0.36072825186726076
v2,0.5,3,2.269618346884216,-0.2876928714444831,0.3688461811678019
v2,0.5,4,2.3003761961270897,-0.27538758341986613,0.3672244942934899
v2,0.5,5,2.327916735513607,-0.2652070379668582,0.36575742463372873
v2,0.5,6,2.352740715434161,-0.25674914535344173,0.3644229823938736
v2,0.5,7,2.3752474611480765,-0.24968858169773633,0.3632034054527491
v2,0.6,3,2.24582888749944,-0.2990487714217446,0.3700935849196696
v2,0.6,4,2.2704093524672473,-0.28936524678409037,0.36881068737934397
v2,0.6,5,2.2923933534249756,-0.2813771466340398,0.36765167982754887
v2,0.6,6,2.3121786765762025,-0.274756699381979,0.3665984278807488
v2,0.6,7,2.3300847642497753,-0.2692410891729994,0.36563644041725274
