base,test_start,test_end,sel_floor,sel_k,test_Sharpe,test_MDD,V1_test_Sharpe,V1_test_MDD,dSharpe_vs_V1,dMDD_vs_V1
deployment,2019-01-04,2020-01-03,0.2,7,-0.7236963259666594,-0.05064258568395519,-0.6847530122014105,-0.1004694208933733,-0.038943313765248955,0.04982683520941811
deployment,2020-01-06,2021-01-04,0.2,7,5.451781441699079,-0.12244281494896847,5.368885461812611,-0.1524212759988931,0.08289597988646769,0.029978461049924632
deployment,2021-01-05,2022-01-03,0.2,7,-1.1731790537239646,-0.200894532438455,-1.2174379373967574,-0.29777137527164577,0.04425888367279285,0.09687684283319076
deployment,2022-01-04,2023-01-04,0.2,7,3.8170968810613632,-0.1712695808339202,3.186606180453617,-0.2378852842564031,0.630490700607746,0.06661570342248291
deployment,2023-01-05,2024-01-05,0.2,7,3.7823426203626416,-0.08694315251120299,3.534886204018124,-0.10769260273015802,0.24745641634451765,0.020749450218955023
deployment,2024-01-08,2025-01-07,0.2,7,2.405350965025449,-0.19248035546120346,1.4106658163429002,-0.2854441757884476,0.994685148682549,0.09296382032724415
deployment,2025-01-08,2026-01-09,0.2,7,0.7865158339530155,-0.09433778470558574,0.7491973734660715,-0.20455598742621872,0.03731846048694398,0.11021820272063299
v2,2019-01-04,2020-01-03,0.2,7,-0.7897750712697947,-0.035769463351293274,-0.6847530122014105,-0.1004694208933733,-0.10502205906838424,0.06469995754208002
v2,2020-01-06,2021-01-04,0.2,7,5.416404915549144,-0.11122943796443685,5.368885461812611,-0.1524212759988931,0.0475194537365331,0.04119183803445625
v2,2021-01-05,2022-01-03,0.2,7,-1.3272493360969373,-0.1679963200167457,-1.2174379373967574,-0.29777137527164577,-0.10981139870017986,0.12977505525490007
v2,2022-01-04,2023-01-04,0.2,7,3.774211659476729,-0.14739898533452356,3.186606180453617,-0.2378852842564031,0.5876054790231118,0.09048629892187954
v2,2023-01-05,2024-01-05,0.2,7,3.528298460747419,-0.07991917444475038,3.534886204018124,-0.10769260273015802,-0.006587743270705104,0.02777342828540763
v2,2024-01-08,2025-01-07,0.2,7,2.6810511948629303,-0.1609444293151251,1.4106658163429002,-0.2854441757884476,1.27038537852003,0.12449974647332251
v2,2025-01-08,2026-01-09,0.2,7,0.7449425191722385,-0.06494134170890131,0.7491973734660715,-0.20455598742621872,-0.004254854293832988,0.1396146457173174
