Rank,Strategy,Overlay,Sharpe,CAGR,MDD,Calmar,Volatility,Avg Exposure,Mean Turnover,Capacity @10% (median $),Capacity @10% (p05 $),Cost-adj Sharpe (10bps),Ops worst Sharpe,Ops worst MDD,Ops Sharpe drop,is_incumbent,DeployQuality
1,US multi-strategy (P05 base),"DD Only (floor0.3, k5)",2.351633191360877,0.4070989448361555,-0.2946753659433812,1.3815167193662716,0.1500649756280721,0.6914387612835863,0.05319508303065681,3250909962.0109444,728936249.3588676,2.2636048381974816,2.1696478276284004,-0.30215276771408317,0.09395701056908123,False,7.695427612876593
2,US multi-strategy (P05 base),"Combined DD+Vol (floor0.3, k5, clip0.5-1.3)",2.2806991536673333,0.4256160064885832,-0.31481056089125337,1.3519749950053486,0.16122014954270275,0.7276115580922188,0.055452176545808404,3180501490.2863283,682517268.8966097,2.1955027319313127,2.102759063337496,-0.3225994322237723,0.09274366859381677,False,5.852008019116666
3,US multi-strategy (P05 base),"Floor 0.3 (m*smooth(0.3,5), clip0.5-1.3)",2.2806991536673333,0.4256160064885832,-0.31481056089125337,1.3519749950053486,0.16122014954270275,0.7276115580922188,0.055452176545808404,3180501490.2863283,682517268.8966097,2.1955027319313127,2.102759063337496,-0.3225994322237723,0.09274366859381677,False,5.852008019116666
4,US multi-strategy (P05 base),"Floor 0.5 (m*smooth(0.5,5), clip0.5-1.3)",2.182780145726849,0.4247489777901845,-0.35470843776359495,1.1974594697216365,0.16873895254751836,0.7874250520812773,0.058321166632466684,2744036432.6735654,675424266.2085305,2.0968821241660143,2.0026555047553445,-0.3633745374590365,0.09422661941066979,False,1.6760319198027933
5,US multi-strategy (P05 base),"Smooth DD (k5, floor0.55) [config recipe]",2.2157832154572406,0.41254132936427523,-0.3622273414311259,1.138901684600515,0.1618354307875864,0.8016392036823055,0.05805149185930023,2598913264.609069,691143441.0984954,2.126280223503677,2.028680878690473,-0.3710375510087818,0.09759934481320398,False,1.1687864116913642
6,US multi-strategy (P05 base),"DD k=5 (m*smooth(0.6,5), clip0.3-1.5)",2.132373477360066,0.4255773057917902,-0.3808153998335949,1.1175422684527856,0.17337085502670707,0.8281021436927968,0.060134593522803106,2522267921.324881,674426815.5467608,2.046022589646529,1.9508153516203521,-0.38994462154243414,0.09520723802617703,False,-0.6281401298519966
7,US multi-strategy (P05 base),"Clip 0.5-1.2 (m*smooth(0.6,5))",2.1316746132753512,0.4225004597328059,-0.38081539983359414,1.1094626423128555,0.172329161346865,0.8254160557549357,0.05963726418650097,2521042805.2586727,681016453.9147669,2.0454670763447047,1.950248153907142,-0.3899446215424337,0.0952189224375628,False,-0.6945210651073526
8,US multi-strategy (P05 base),"Deployment (incumbent, as shipped)",2.0901126366076075,0.37702089838981023,-0.36694948853663256,1.0274463111894274,0.15917505750943411,0.7969786068609283,0.05808692331820349,2603298844.2758055,696539144.231795,1.99888090750734,1.9000573777444136,-0.3757175261271788,0.0988235297629263,True,-2.6197262099302634
9,US multi-strategy (P05 base),"Clip 0.8-1.0 (m*smooth(0.6,5))",2.083998385920058,0.4029153832878347,-0.4063193923250974,0.9916223318365787,0.16938292720888073,0.8694294010526183,0.06031408423785,2314862027.2122183,684092399.6154511,1.9949438286278387,1.8960082772744158,-0.4159620684604888,0.09893555135342291,False,-3.7359045525131354
10,US multi-strategy (P05 base),"DD k=1 (m*smooth(0.6,1), clip0.3-1.5)",1.991960202187069,0.42805299663171104,-0.44597473074305016,0.9598144628475267,0.18776370654628258,0.9421183933419592,0.065316483106287,2119841997.1509452,640296118.6712831,1.9050049308805326,1.8079788579167517,-0.456085522322897,0.09702607296378085,False,-6.303910467718074
11,US multi-strategy (P05 base),Base (no portfolio overlay),1.9778742143943524,0.42099009806978693,-0.46912409446112724,0.8973960259989826,0.18648417836935716,1.0,0.06706838059542476,1944905416.7977571,618735962.5334985,1.8876303835606576,1.7867081942927285,-0.4795318029063721,0.10092218926792906,False,-8.262059557483258
